,Unit,vin,price,miles,year,,model,vehicle_type,body_type,fuel_type,engine,transmission,color,zip,state,city,seller_type,is_certified,dom,dom_180,msrp,seller_name
13,1,1FA6P8THXH5258228,23597,11293,2017,,Mustang,Car,Coupe,,,Automatic,Race Red,48813,MI,Charlotte,dealer,,48,48,23597,candy ford - mercury inc.
14,1,1FADP3F21HL246675,11830,20246,2017,,Focus,Car,Sedan,,2.0L L4 DOHC 16V,,,28273,NC,Charlotte,dealer,,67,67,11830,volkswagen of south charlotte
15,1,1FADP3L93EL270635,16481,27301,2014,,Focus ST,Car,Hatchback,Premium Unleaded,2.0L L4 DOHC 16V,Manual,Yellow,28211,NC,Charlotte,dealer,,19,19,16481,sonic automotive
16,1,1FAFP55UX1A218012,,170431,2001,,Taurus,Car,Sedan,Regular Unleaded,3.0L V6 OHV 12V,Automatic,,28213,NC,Charlotte,dealer,,1,1,,capital ford charlotte
17,1,1FAHP36N09W243472,,197243,2009,,Focus,Car,Sedan,Regular Unleaded,2.0L L4 DOHC 16V,Manual,,28213,NC,Charlotte,dealer,,2,2,,capital ford charlotte
18,1,1FATP8FF4G5235569,33899,2835,2016,,Mustang,Car,Convertible,Premium Unleaded,5.0L V8 DOHC 32V,Manual,Shadow Black,28273-6935,NC,Charlotte,dealer,,63,35,33899,hendrickcars.com charlotte
19,1,1FATP8UH2H5254269,25597,40696,2017,,Mustang,Car,Convertible,,Turbo Premium Unleaded,Automatic,,28227,NC,Charlotte,dealer,,18,18,27781,east charlotte nissan
20,1,1FM5K7F89DGC39142,19981,61613,2013,,Explorer,SUV,SUV,Flex-Fuel,3.5L V6 DOHC 24V,Automatic,Gray,28211,NC,Charlotte,dealer,1,20,7,19981,sonic automotive
21,1,1FM5K8D84EGB82441,22029,75140,2014,,Explorer,SUV,SUV,Flex-Fuel,3.5L V6 DOHC 24V,Automatic,,28273,NC,Charlotte,dealer,,45,45,22029,volkswagen of south charlotte
22,1,1FM5K8F85GGC23532,27995,34622,2016,,Explorer,SUV,SUV,Flex-Fuel,3.5L V6 DOHC 24V,Automatic,,28213-7920,NC,Charlotte,dealer,,235,128,27995,parks chevrolet charlotte
23,1,1FM5K8HT0GGC20006,38500,25793,2016,,Explorer,SUV,SUV,Regular Unleaded,3.5L V6 DOHC 24V,Automatic,,28213,NC,Charlotte,dealer,,22,21,,capital ford charlotte
24,1,1FMCU9GX4GUA40329,12284,78459,2016,,Escape,SUV,SUV,Premium Unleaded,1.6L L4 DOHC 16V,Automatic,Shadow Black,28211,NC,Charlotte,dealer,,32,32,12284,sonic automotive
25,1,1FMCU9HD1JUA72716,,12317,2018,,Escape,SUV,SUV,Regular Unleaded,,,,28213,NC,Charlotte,dealer,,1,1,,capital ford charlotte
26,1,1FMCU9J98GUB48303,22853,13782,2016,,Escape,SUV,SUV,Premium Unleaded,2.0L L4 DOHC 16V,Automatic,Gray,28211,NC,Charlotte,dealer,,68,55,22853,sonic automotive
27,1,1FMZU77KX5UA88515,7991,131758,2005,,Explorer Sport Trac,Truck,Pickup,Flex-Fuel,4.0L V6 SOHC 12V FFV,Automatic,Pueblo Gold,28211,NC,Charlotte,dealer,,4,4,7991,sonic automotive
28,1,1FT7W2BT0HED23219,64700,20887,2017,,F-250 Super Duty,Truck,Pickup,Diesel,6.7L V8 OHV 16V DIESEL,Automatic,,28213,NC,Charlotte,dealer,,53,14,66995,capital ford charlotte
29,1,1FT7W2BT6FEB49430,41497,88210,2015,,F-250 Super Duty,Truck,Pickup,Diesel,6.7L V8 OHV 16V DIESEL,Automatic,,28273,NC,Charlotte,dealer,,115,68,41497,performance ford
30,1,1FTEW1CP8HKC36463,24603,31982,2017,,F-150,Truck,Pickup,,2.7L V6 DOHC 24V,Automatic,,28213,NC,Charlotte,dealer,,122,122,30995,capital ford charlotte
31,1,1FTEW1EF6FKE84115,36994,38185,2015,,F-150,Truck,Pickup,Flex-Fuel,5.0L V8,Automatic,White,28211,NC,Charlotte,dealer,,55,41,36994,sonic automotive
32,1,1FTEW1EF8FFA08411,33999,65910,2015,,F-150,Truck,Pickup,Flex-Fuel,5.0L V8,Automatic,,28213,NC,Charlotte,dealer,1,8,2,33999,capital ford charlotte
33,1,1FTEW1EG6FFB20262,36000,30108,2015,,F-150,Truck,Pickup,Regular Unleaded,3.5L V6 TURBO,Automatic,,28213,NC,Charlotte,dealer,1,52,52,38000,capital ford charlotte
34,1,1G11B5SA6GF141432,17150,9754,2016,,Malibu Limited,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,Silver Ice Metallic,28212,NC,Charlotte,dealer,,434,196,17150,young ford
35,1,1G11B5SL9EF241555,14988,85233,2014,,Malibu,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,Ashen Gray Metallic,28212,NC,Charlotte,dealer,,5,4,14988,hendrick kia charlotte
36,1,1G11E5SA0GF160288,17890,39409,2016,,Malibu Limited,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,Iridescent Pearl Tricoat,28227,NC,Charlotte,dealer,,89,22,17890,hendrick mini
37,1,1G1JH6SB1F4150594,11444,39498,2015,,Sonic,Car,Hatchback,Regular Unleaded,1.4L L4 DOHC 24V TURBO,Manual,,28212,NC,Charlotte,dealer,,127,127,11444,hendrick kia charlotte
38,1,1G1PA5SH2E7253128,9007,42979,2014,,Cruze,Car,Sedan,Regular Unleaded,1.8L L4 DOHC 16V FFV,Automatic,Red Hot,28212,NC,Charlotte,dealer,,83,56,9007,hendrick kia charlotte
39,1,1G1PE5SB9G7160786,11621,20150,2016,,Cruze Limited,Car,Sedan,Regular Unleaded,1.4L L4 DOHC 16V TURBO,Automatic,Summit White,28273,NC,Charlotte,dealer,,148,52,11621,hendrick automotive group - usa
40,1,1G1YY22G345103254,15223,85847,2004,,Corvette,Car,Coupe,Premium Unleaded,5.7L V8 OHV 16V,Automatic,Lemans Blue Metallic,28273-6935,NC,Charlotte,dealer,,36,36,15223,hendrickcars.com charlotte
41,1,1G1ZT628X5F317317,4481,81018,2005,,Malibu Maxx,Car,Hatchback,Regular Unleaded,3.5L V6 OHV 12V,Automatic,Silver,28211,NC,Charlotte,dealer,,3,3,4481,sonic automotive
42,1,1G4PW5SK8G4173529,17900,3985,2016,,Verano,SUV,Sedan,Regular Unleaded,2.4L L4 DOHC 16V FFV,Automatic,,28273,NC,Charlotte,dealer,,359,118,17900,williams buick gmc
43,1,1G8ZS57N57F194896,5998,82051,2007,,Aura,Car,Sedan,Regular Unleaded,3.5L V6 12V OHV,Automatic,,48813,MI,Charlotte,dealer,,18,18,5998,team one
44,1,1GC1KVEG5FF655374,30982,51542,2015,,Silverado 2500HD,Truck,Pickup,Flex-Fuel,6.0L V8 OHV 16V FFV,Automatic,Black,28211,NC,Charlotte,dealer,,28,19,30982,sonic automotive
45,1,1GCHK29131E264435,13333,147066,2001,,Silverado 2500HD,Truck,Pickup,Regular Unleaded,6.6L V8 OHV 32V TURBO DIESEL,Manual,,28213,NC,Charlotte,dealer,,22,22,15950,capital ford charlotte
46,1,1GCRCPEC6FZ331065,24873,44904,2015,,Silverado 1500,Truck,Pickup,Flex-Fuel,5.3L V8 OHV 16V,Automatic,Tungsten Metallic,28227,NC,Charlotte,dealer,,10,10,24873,jaguar charlotte
47,1,1GCVKREC5FZ416718,29628,47377,2015,,Silverado 1500,Truck,Pickup,Flex-Fuel,5.3L V8 OHV 16V,Automatic,,28227,NC,Charlotte,dealer,,148,148,31966,east charlotte nissan
48,1,1GCWGFFA8C1170551,9999,208564,2012,,Express Cargo,Car,,Flex-Fuel,4.8L V8 OHV 16V FFV,Automatic,,28206,NC,Charlotte,dealer,,346,346,9999,palace auto sales
49,1,1GKKNMLS0JZ147502,31981,18138,2018,,Acadia,SUV,SUV,Gasoline,,,White,28211,NC,Charlotte,dealer,1,6,6,31981,sonic automotive
50,1,1GKKNMLS2JZ135321,32782,8814,2018,,Acadia,SUV,SUV,Gasoline,,,Silver,28211,NC,Charlotte,dealer,1,34,34,32782,sonic automotive
51,1,1GKKRNED0FJ144260,,792,2015,,Acadia,SUV,SUV,Regular Unleaded,3.6L V6 DOHC 24V,Automatic,,28212,NC,Charlotte,dealer,,42,15,18998,hendrick lexus
52,1,1GKS1KE07DR348765,24999,77599,2013,,Yukon XL,SUV,SUV,Flex-Fuel,5.3L V8 OHV 16V FFV,Automatic,,28273,NC,Charlotte,dealer,,24,8,24999,williams buick gmc
53,1,1GNEK13V32J157992,,,2002,,Tahoe,SUV,SUV,Regular Unleaded,4.8L V8 OHV 16V,Automatic,,28205,NC,Charlotte,dealer,,129,129,,pty motors
54,1,1GNKVJKD5EJ352984,25676,39858,2014,,Traverse,SUV,SUV,Regular Unleaded,3.6L V6 DOHC 24V,Automatic,,28227,NC,Charlotte,dealer,,143,97,25676,honda scott clark
55,1,1GTR1NEC1HZ140814,33981,2008,2017,,Sierra 1500,Truck,Pickup,Regular Unleaded,5.3L V8 OHV 16V,Automatic,Black,28211,NC,Charlotte,dealer,1,225,7,33981,sonic automotive
56,1,1GTW7AFFXH1904080,23993,13236,2017,,Savana Cargo,Car,,,4.8L V8 FFV,,White,28211,NC,Charlotte,dealer,,33,33,23993,sonic automotive
57,1,1HGCP2F37CA205336,12824,34369,2012,,Accord,Car,Sedan,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Unknown,28227,NC,Charlotte,dealer,,7,7,12824,hendrick acura
58,1,1HGCR2F33FA031070,18111,36047,2015,,Accord,Car,Sedan,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Modern Steel Metallic,28273-6935,NC,Charlotte,dealer,,25,25,18111,hendrickcars.com charlotte
59,1,1HGCR2F38FA135201,16481,17090,2015,,Accord,Car,Sedan,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Maroon,28211,NC,Charlotte,dealer,,6,6,16481,sonic automotive
60,1,1HGCR2F39FA121744,18111,31947,2015,,Accord,Car,Sedan,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Modern Steel Metallic,28269,NC,Charlotte,dealer,1,11,11,18111,audi northlake
61,1,1HGCR6F53FA014570,20800,29960,2015,,Accord Hybrid,Car,Sedan,Regular Unleaded,2.0L L4 DOHC 16V HYBRID,Automatic,,28227,NC,Charlotte,dealer,,16,16,20800,hendrick acura
62,1,1J4AA2D14AL100452,16991,71838,2010,,Wrangler,SUV,SUV,Regular Unleaded,3.8L V6 OHV 12V,Manual,Red,28211,NC,Charlotte,dealer,,19,10,16991,sonic automotive
63,1,1J8HS48P27C595053,5981,129965,2007,,Grand Cherokee,SUV,SUV,Regular Unleaded,4.7L V8 SOHC 16V FFV,Automatic,Gray,28211,NC,Charlotte,dealer,,2,2,5981,sonic automotive
64,1,1N4AL3AP1GC158113,13511,42561,2016,,Altima,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,White,28269,NC,Charlotte,dealer,,46,46,13511,mercedes-benz of northlake
65,1,1N4AL3AP2FC231794,16481,31886,2015,,Altima,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,White,28211,NC,Charlotte,dealer,1,16,14,16481,sonic automotive
66,1,1N4AL3AP2HC194359,17988,42233,2017,,Altima,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,Glacier White,28269,NC,Charlotte,dealer,,23,23,17988,mercedes-benz of northlake
67,1,1N4AL3AP3FC483327,13861,46033,2015,,Altima,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,,28212,NC,Charlotte,dealer,,7,7,13861,montgomery mazda
68,1,1N4AL3AP3FC492156,13988,44589,2015,,Altima,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,Java Metallic,28273-6935,NC,Charlotte,dealer,,10,10,13988,hendrickcars.com charlotte
69,1,1VWBS7A30FC045383,14482,29995,2015,,Passat,Car,Sedan,Diesel,1.8L L4 TURBO DIESEL,Automatic,White,28211,NC,Charlotte,dealer,,29,29,14482,sonic automotive
70,1,1VWBT7A37FC072979,14499,35938,2015,,Passat,Car,Sedan,Diesel,1.8L L4 TURBO DIESEL,Automatic,Candy White,28273-6935,NC,Charlotte,dealer,,62,62,14499,hendrickcars.com charlotte
71,1,1ZVBP8CHXA5145620,12981,122332,2010,,Mustang,Car,Coupe,Regular Unleaded,4.6L V8 SOHC 24V,Manual,Gray,28211,NC,Charlotte,dealer,,18,18,12981,sonic automotive
72,1,1ZVBP8CU5C5229375,44995,7799,2012,,Mustang,Car,Coupe,Premium Unleaded,5.0L V8 DOHC 32V,Manual,Black,28212,NC,Charlotte,dealer,,91,91,44995,formula one imports
73,1,1ZVBP8JS2C5242344,39995,10999,2012,,Shelby GT500,Car,Coupe,Premium Unleaded,5.4L V8 DOHC 32V SUPERCHARGED,Manual,,28213,NC,Charlotte,dealer,,8,6,39995,capital ford charlotte
74,1,2C3CDXDT0EH360651,22998,54859,2014,,Charger,Car,Sedan,Regular Unleaded,5.7L V8 OHV 16V,Automatic,Pitch Black,28227,NC,Charlotte,dealer,,83,83,,land rover charlotte
75,1,2C3CDXEJ1EH100126,28995,62939,2014,,Charger,Car,Sedan,Premium Unleaded,6.4L V8 OHV 16V,Automatic,,28213,NC,Charlotte,dealer,,88,7,29995,capital ford charlotte
76,1,2C3CDYBTXEH281609,24944,49527,2014,,Challenger,Car,Coupe,Regular Unleaded,5.7L V8 OHV 16V,Manual,,28273,NC,Charlotte,dealer,,46,45,24944,performance ford
77,1,2C4RDGCG2HR549309,21504,27292,2017,,Grand Caravan,SUV,SUV,Regular Unleaded,3.6L V6 DOHC 24V,,,28212,NC,Charlotte,dealer,,97,18,21504,hendrick lexus
78,1,2CNDL63F766105383,4981,110664,2006,,Equinox,SUV,SUV,Regular Unleaded,3.4L V6 OHV 12V,Automatic,Red,28211,NC,Charlotte,dealer,,6,6,4981,sonic automotive
79,1,2FMPK3J94GBC37831,23998,7512,2016,,Edge,SUV,SUV,Premium Unleaded,2.0L L4 DOHC 16V,Automatic,Oxford White,28273-6935,NC,Charlotte,dealer,,108,78,23998,hendrickcars.com charlotte
80,1,2G1FD1E36F9251247,19588,36981,2015,,Camaro,Car,Coupe,Regular Unleaded,3.6L V6 DOHC 24V FFV,Manual,Summit White,28227,NC,Charlotte,dealer,,35,35,19588,hendrick mini
81,1,2G1FH1EJ6F9207090,27455,39998,2015,,Camaro,Car,Coupe,Premium Unleaded,6.2L V8 OHV 16V,Manual,Blue Velvet Metallic,28269,NC,Charlotte,dealer,1,106,13,27455,mercedes-benz of northlake
82,1,2GCEC19V731170642,12988,92904,2003,,Silverado 1500,Truck,Pickup,Regular Unleaded,4.8L V8 OHV 16V,Automatic,Black,28273-6935,NC,Charlotte,dealer,,11,11,12988,hendrickcars.com charlotte
83,1,2GNALBEK6G1188384,16981,30276,2016,,Equinox,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V FFV,Automatic,Black,28269,NC,Charlotte,dealer,1,99,86,16981,audi northlake
84,1,2GNALBEK7E6145561,13744,84281,2014,,Equinox,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V FFV,Automatic,,28273,NC,Charlotte,dealer,,100,23,13744,hendrick honda
85,1,2GNALCEK3G6263115,18998,31000,2016,,Equinox,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V FFV,Automatic,,28227,NC,Charlotte,dealer,,28,5,,carmax independence boulevard
86,1,2HGFB2F71FH513350,9981,100627,2015,,Civic,Car,Sedan,Regular Unleaded,1.8L L4 SOHC 16V,Automatic,Gray,28211,NC,Charlotte,dealer,,12,11,9981,sonic automotive
87,1,2HGFG21548H703153,9481,85801,2008,,Civic,Car,Coupe,Premium Unleaded,2.0L L4 DOHC 16V,Manual,Red,28211,NC,Charlotte,dealer,,229,229,9481,sonic automotive
88,1,2HJYK16469H501492,11295,147434,2009,,Ridgeline,Truck,Pickup,Regular Unleaded,3.5L V6 SOHC 24V,Automatic,,28273,NC,Charlotte,dealer,,2,2,11295,south charlotte nissan
89,1,2HKRM3H51DH506023,15981,46093,2013,,CR-V,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Silver,28211,NC,Charlotte,dealer,,10,10,15981,sonic automotive
90,1,2HKRM3H52FH525179,19888,19339,2015,,CR-V,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,,28227,NC,Charlotte,dealer,,2,2,19888,hendrick acura
91,1,2HKRM3H70FH541835,22440,31720,2015,,CR-V,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Modern Steel Metallic,28269,NC,Charlotte,dealer,,17,17,22440,hendrick bmw northlake
92,1,2HKRM3H77FH501476,21887,50863,2015,,CR-V,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Mountain Air Metallic,28273-6935,NC,Charlotte,dealer,,85,85,21887,hendrickcars.com charlotte
93,1,2T1BURHE1GC582515,12481,55844,2016,,Corolla,Car,Sedan,Regular Unleaded,1.8L L4 DOHC 16V,Automatic,Barcelona Red Metallic,28211,NC,Charlotte,dealer,,28,7,12481,sonic automotive
94,1,2T1BURHE2EC029787,11900,96000,2014,,Corolla,Car,Sedan,Regular Unleaded,1.8L L4 DOHC 16V,Manual,,28206,NC,Charlotte,dealer,,88,48,,carolina auto imports
95,1,2T1BURHE6GC678396,12898,52092,2016,,Corolla,Car,Sedan,Regular Unleaded,1.8L L4 DOHC 16V,Automatic,,28273-6935,NC,Charlotte,dealer,,43,43,12898,hendrickcars.com charlotte
96,1,2T2BK1BAXFC329930,32981,14772,2015,,RX 350,SUV,SUV,Regular Unleaded,3.5L V6 DOHC 24V,Automatic,Gray,28211,NC,Charlotte,dealer,1,2,2,32981,sonic automotive
97,1,2T2GK31UX7C009229,10990,99638,2007,,RX 350,SUV,SUV,Premium Unleaded,3.5L V6 DOHC 24V,Automatic,Savannah Metallic,28273-6935,NC,Charlotte,dealer,,46,26,10990,hendrickcars.com charlotte
98,1,2T3RFREV8FW290023,21744,31060,2015,,RAV4,SUV,SUV,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,Magnetic Gray Metallic,28227,NC,Charlotte,dealer,1,9,9,21744,jaguar charlotte
99,1,3C4PDCAB1ET150861,13901,55971,2014,,Journey,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,,28273,NC,Charlotte,dealer,,41,16,13901,hendrick automotive group - usa
100,1,3C6TRVAG3HE520554,19500,27042,2017,,Promaster Cargo Van,Car,,Regular Unleaded,3.6L V6,Automated Manual,,28214,NC,Charlotte,dealer,,18,18,21840,victory chevrolet
101,1,3C6TRVDG3GE110797,,115555,2016,,Promaster Cargo Van,Car,,Regular Unleaded,3.6L V6,Automatic,,28227,NC,Charlotte,dealer,,146,2,,keffer chrysler jeep dodge
102,1,3CZRM3H51GG714233,22350,17992,2016,,CR-V,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Modern Steel Metallic,28269,NC,Charlotte,dealer,1,41,29,22350,audi northlake
103,1,3FA6P0RU0ER279233,13998,75762,2014,,Fusion Hybrid,Car,Sedan,Regular Unleaded,2.0L L4 DOHC 16V HYBRID,Automatic,Oxford White,28227,NC,Charlotte,dealer,,320,320,13998,hendrick acura
104,1,3FADP0L36BR145541,8992,68090,2011,,Fusion Hybrid,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V HYBRID,Automatic,Gray,28211,NC,Charlotte,dealer,,32,32,8992,sonic automotive
105,1,3GCPKSE31BG331210,24981,40959,2011,,Silverado 1500,Truck,Pickup,Flex-Fuel,5.3L V8 OHV 16V FFV,Automatic,Summit White,28227,NC,Charlotte,dealer,,15,15,24981,jaguar charlotte
106,1,3GCUKSEC0HG175981,41311,36426,2017,,Silverado 1500,Truck,Pickup,Regular Unleaded,5.3L V8 OHV 16V,Automatic,Graphite Metallic,28269,NC,Charlotte,dealer,1,249,208,41311,mercedes-benz of northlake
107,1,3GNFC16007G201201,9981,141004,2007,,Suburban,SUV,SUV,Regular Unleaded,5.3L V8 OHV 16V FFV,Automatic,Tan,28211,NC,Charlotte,dealer,,13,13,9981,sonic automotive
108,1,3GTU2UEH1FG426897,30998,22000,2015,,Sierra 1500,Truck,Pickup,Flex-Fuel,4.3L V6 OHV 12V,Automatic,,28227,NC,Charlotte,dealer,,51,1,,carmax independence boulevard
109,1,3GYFNCEYXBS619917,15981,92397,2011,,SRX,SUV,SUV,Regular Unleaded,3.0L V6 DOHC 24V,Automatic,Brown,28211,NC,Charlotte,dealer,,18,18,15981,sonic automotive
110,1,3N1AB7AP1FY235947,7251,77291,2015,,Sentra,Car,Sedan,Regular Unleaded,1.8L L4 SFI DOHC 16V,Automatic,,28227,NC,Charlotte,dealer,,79,58,7251,east charlotte nissan
111,1,3N1AB7AP4GY277353,11500,40413,2016,,Sentra,Car,Sedan,Regular Unleaded,1.8L L4 SFI DOHC 16V,,,28214,NC,Charlotte,dealer,,228,228,12880,victory chevrolet
112,1,3VW2K7AJ7EM412341,11496,18438,2014,,Jetta,Car,Sedan,Regular Unleaded,2.0L L4 DOHC 20V,Automatic,Pure White,28273-6935,NC,Charlotte,dealer,,111,48,11496,hendrickcars charlotte
113,1,3VWD17AJ3GM410214,15981,22884,2016,,Jetta,SUV,Sedan,Regular Unleaded,1.8L L4 DOHC 20V,Automatic,Black,28211,NC,Charlotte,dealer,1,26,7,15981,sonic automotive
114,1,3VWDF71K66M729308,4981,110279,2006,,Jetta,Car,Sedan,Regular Unleaded,2.5L L5 DOHC 20V,Automatic,Black,28211,NC,Charlotte,dealer,,3,3,4981,sonic automotive
115,1,3VWDX7AJ1CM023587,7481,80433,2012,,Jetta,Car,Sedan,Regular Unleaded,2.5L L5 DOHC 20V,Automatic,Black,28211,NC,Charlotte,dealer,,18,9,7481,sonic automotive
116,1,3VWPP7AJ4DM629917,12234,62854,2013,,Jetta SportWagen,Car,Wagon,Regular Unleaded,2.5L L5 DOHC 20V,Automatic,,28273,NC,Charlotte,dealer,,101,34,12234,volkswagen of south charlotte
117,1,4JGDA5HB4EA355106,25973,43023,2014,,M-Class,SUV,SUV,Premium Unleaded,3.5L V6 DOHC 24V,Automatic,Steel Gray Metallic,28212,NC,Charlotte,dealer,,105,17,25973,hiline garage
118,1,4JGDA5HB6FA523765,35995,35241,2015,,M-Class,SUV,SUV,Premium Unleaded,3.5L V6 DOHC 24V,Automatic,,28227,NC,Charlotte,dealer,,6,6,35995,hendrick acura
119,1,4JGDF6EE3FA469184,49171,38811,2015,,GL-Class,SUV,SUV,Diesel,3.0L V6 DOHC 24V TURBO DIESEL,Automatic,,28227,NC,Charlotte,dealer,,260,260,49171,east charlotte nissan
120,1,4JGDF6EE5FA489761,40783,31526,2015,,GL-Class,SUV,SUV,Premium Unleaded,3.0L V6 DOHC 24V TURBO DIESEL,Automatic,Black,28211,NC,Charlotte,dealer,,39,39,40783,sonic automotive
121,1,4S3BNAL63F3055792,19982,24443,2015,,Legacy,Car,Sedan,Regular Unleaded,2.5L H4 SOHC 16V,Automatic,Gold,28211,NC,Charlotte,dealer,,23,23,19982,sonic automotive
122,1,4T1BE32K84U798915,3992,165157,2004,,Camry,Car,Sedan,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Tan,28211,NC,Charlotte,dealer,,19,19,3992,sonic automotive
123,1,4T1BE46K47U634789,,175512,2007,,Camry,Car,Sedan,Regular Unleaded,2.4L L4 DOHC 16V,Manual,,28273,NC,Charlotte,dealer,,1,1,,south charlotte nissan
124,1,4T1BF1FK7GU542829,15337,20756,2016,,Camry,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,Ruby Flare Pearl,28227,NC,Charlotte,dealer,,86,69,15337,hendrick acura
125,1,4T1BF3EK3AU011423,,,2010,,Camry,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Manual,,28205,NC,Charlotte,dealer,,7,7,,pty motors
126,1,4T1BF3EK4BU759051,,139756,2011,,Camry,Car,Sedan,Regular Unleaded,2.5L L4 DOHC 16V,Automatic,SILVER,28208,NC,Charlotte,dealer,,7,7,,sign and drive auto group
127,1,4T3ZK3BB1BU042953,12981,72989,2011,,Venza,Car,Wagon,Regular Unleaded,3.5L V6 DOHC 24V,Automatic,White,28211,NC,Charlotte,dealer,,10,10,12981,sonic automotive
128,1,4USBU33526LW58488,7981,102857,2006,,Z4,Car,Convertible,Premium Unleaded,3.0L L6 DOHC 24V,Manual,Silver,28211,NC,Charlotte,dealer,,10,10,7981,sonic automotive
129,1,55SWF4JB5FU073695,22981,35853,2015,,C-Class,Car,Sedan,Premium Unleaded,2.0L L4 DOHC 16V,Automatic,White,28211,NC,Charlotte,dealer,,7,7,22981,sonic automotive
130,1,55SWF4JB9GU141403,27982,17071,2016,,C-Class,Car,Sedan,Premium Unleaded,2.0L L4 DOHC 16V,Automatic,Brown,28211,NC,Charlotte,dealer,1,31,24,27982,sonic automotive
